Summary,Description,Issue Type,Priority,Story Points,Acceptance Criteria
"HU-01: Login de usuario","Como: Usuario registrado
Quiero: poder iniciar sesión con correo/usuario y contraseña
Para: acceder a mi panel y gestionar mis registros de glucosa y citas","Story","High",3,"- Formulario aceita correo/usuario y contraseña.\n- Credenciales correctas redirigen al dashboard.\n- Credenciales incorrectas muestran error.\n- Sesiones expiran tras periodo configurable."
"HU-02: Registro de nuevo usuario","Como: Usuario no registrado
Quiero: crear una cuenta con datos personales y credenciales
Para: poder acceder a la aplicación y registrar mis mediciones","Story","High",5,"- Validación de todos los campos obligatorios.\n- Usuario creado en BD.\n- Se envía correo de bienvenida.\n- Usuario puede iniciar sesión tras registro."
"HU-03: Ver perfil de usuario","Como: Usuario autenticado
Quiero: ver mis datos personales y configuración
Para: verificar y actualizar mi información","Story","Medium",3,"- Mostrar datos del usuario actual.\n- Botón editar y guardar con validación.\n- Cambios persisten en BD."
"HU-04: Gestión de usuarios (Admin)","Como: Administrador
Quiero: listar, editar y eliminar usuarios desde la interfaz de admin
Para: mantener la base de usuarios limpia y gestionar roles","Story","High",8,"- Admin ve tabla con todos los usuarios.\n- Editar datos y asignar roles funciona.\n- Eliminar con confirmación.\n- Acceso restringido a admins."
"HU-05: Registrar medición de glucosa","Como: Usuario autenticado
Quiero: registrar una medición con nivel, fecha/hora y momento del día
Para: llevar control de mis tendencias de glucosa","Story","High",5,"- Formulario valida nivel, fecha/hora y momento.\n- Registro persiste en BD con relación al usuario.\n- Se muestra gráfico si hay datos."
"HU-06: Filtrar y exportar registros de glucosa","Como: Usuario autenticado
Quiero: filtrar por fecha, nivel o momento del día y exportar a PDF/CSV
Para: analizar mis datos fuera de la plataforma","Story","Medium",5,"- Filtros actualizan la tabla.\n- Exportación genera archivo descargable con datos filtrados.\n- PDF incluye gráfico si aplica."
"HU-07: Agendar una cita","Como: Usuario autenticado
Quiero: crear una cita con fecha, hora y motivo
Para: reservar atención con el profesional","Story","Medium",5,"- Formulario permite fecha/hora válidas.\n- Restricciones de solapamiento aplican si corresponde.\n- Cita aparece en la lista."
"HU-08: Ver y cancelar citas","Como: Usuario autenticado
Quiero: ver mis próximas citas y cancelar si es necesario
Para: gestionar mi agenda","Story","Medium",3,"- Lista muestra fecha, hora y motivo.\n- Cancelar con confirmación.\n- Notificación a admin/medico si aplica."
"HU-09: Generar reporte completo del paciente (PDF)","Como: Usuario autenticado
Quiero: descargar un reporte PDF con mis datos, historial de glucosa, medicamentos y citas
Para: compartir con profesionales o conservar registros","Story","High",8,"- Reporte incluye encabezado y secciones (Glucosa, Medicamentos, Citas).\n- PDF se descarga correctamente."
"HU-10: Exportar listados de usuarios (Admin)","Como: Administrador
Quiero: exportar la lista de usuarios a CSV/XLS
Para: generar reportes institucionales","Story","Medium",3,"- Export contiene columnas clave.\n- Acceso solo para admin."
"HU-11: Enviar correo de bienvenida al registrarse","Como: Sistema
Quiero: enviar un correo de bienvenida cuando un usuario se registra
Para: confirmar registro y dar información inicial","Story","High",3,"- Se invoca ServicioCorreo.enviarCorreoRegistro.\n- Correo contiene datos básicos o link de activación.\n- Fallos de envío no bloquean el registro y quedan logeados."
"HU-12: Enviar comunicados masivos (Admin)","Como: Administrador
Quiero: enviar correos masivos a grupos o a todos los usuarios
Para: informar campañas, mantenimientos o novedades","Story","Medium",8,"- Interfaz para redactar asunto y mensaje.\n- Envío en background o por lotes.\n- Historial de envíos."
"HU-13: Registrar acciones críticas en log/auditoría","Como: Administrador
Quiero: tener trazabilidad de acciones como creación/eliminación de usuarios y envíos masivos
Para: cumplir requisitos legales y detectar problemas","Story","Medium",5,"- Eventos críticos quedan en tabla o logs con usuario, fecha y acción.\n- Vista para administradores con filtros."
